filename,width,height,class,xmin,ymin,xmax,ymax
green-glass67_jpg.rf.3d280ca1719d9f25d9a672653af47117.jpg,150,150,glass,14,0,128,148
O_44_jpg.rf.3d06996696bf7b68768596bd49a734ca.jpg,225,225,organic,48,1,170,218
white-glass204_jpg.rf.3cfb9c87cb46526e27ac22477e096e4a.jpg,512,384,glass,111,44,385,298
metal9_jpg.rf.3cec0cd114906a025fbcd136d46e1448.jpg,225,225,metal,1,35,225,213
O_12627_jpg.rf.3f8d8ba688b9126e361dc4b9a9b5605d.jpg,225,225,organic,17,62,205,169
plastic85_jpg.rf.3f51fc76fbabcf50d268d1248c34bc11.jpg,512,384,plastic,150,89,408,379
plastic227_jpg.rf.3f86deea72287e4143604c575df50551.jpg,512,384,plastic,94,116,468,275
green-glass209_jpg.rf.3cbf7c39ea8fac612c62d66dc3a3d955.jpg,512,384,glass,24,119,484,261
metal128_jpg.rf.3fa146483b8805473f2f984cd9786cd9.jpg,512,384,metal,19,1,454,379
paper872_jpg.rf.3e5e279a0e7595e486f7dc1ec52a80ae.jpg,512,384,paper,5,4,507,375
cardboard209_jpg.rf.3fae84872ca890fd4c3db7d5006dd199.jpg,512,384,cardboard,6,1,494,379
cardboard140_jpg.rf.3cbeb61f9b22e8c3d87f3401c6a4bf0e.jpg,512,384,cardboard,2,3,506,378
plastic22_jpg.rf.3fa49a39a85fd623b16dbb17068b4fa7.jpg,512,384,plastic,38,93,454,315
plastic54_jpg.rf.3fb4c750cc6c55d53921e53b93da9a52.jpg,512,384,plastic,107,22,471,382
cardboard134_jpg.rf.3fce358ddd7f1fa8ab239540ea07167b.jpg,512,384,cardboard,11,0,416,287
metal239_jpg.rf.401b458b32000bb227d36969b9e7a78c.jpg,512,384,metal,88,43,507,381
green-glass20_jpg.rf.40d6a6e9ab0d0714002c17f96523e8cc.jpg,288,175,glass,2,6,262,161
O_146_jpg.rf.3ffa27a9d6e1299d107bf0195fc1f1d5.jpg,326,155,organic,47,1,237,150
paper876_jpg.rf.40ad127499690aa18bed84d2c04f1c9b.jpg,512,384,paper,3,3,509,376
cardboard66_jpg.rf.40f77929feea12fd95c6ced33661d5f6.jpg,512,384,cardboard,5,59,506,383
cardboard66_jpg.rf.40f77929feea12fd95c6ced33661d5f6.jpg,512,384,cardboard,11,2,501,108
O_12679_jpg.rf.40efda61260dd80c1ece52f9556495da.jpg,225,225,organic,5,3,223,223
cardboard162_jpg.rf.409a8affa4ec8bc522fc6d2951330c09.jpg,512,384,cardboard,4,4,509,379
green-glass205_jpg.rf.40fa75ef52a5dfe114371807cdd8b5c3.jpg,194,259,glass,58,64,133,251
green-glass205_jpg.rf.40fa75ef52a5dfe114371807cdd8b5c3.jpg,194,259,glass,102,45,156,202
green-glass205_jpg.rf.40fa75ef52a5dfe114371807cdd8b5c3.jpg,194,259,glass,38,46,79,192
green-glass205_jpg.rf.40fa75ef52a5dfe114371807cdd8b5c3.jpg,194,259,glass,21,48,58,159
green-glass205_jpg.rf.40fa75ef52a5dfe114371807cdd8b5c3.jpg,194,259,glass,136,47,172,171
brown-glass15_jpg.rf.417d7598965efc6552d44ba0be5c2c74.jpg,180,279,glass,24,5,147,261
white-glass208_jpg.rf.4128324c8ccfc2c1559ba1e4abb63ad0.jpg,512,384,glass,3,4,413,374
metal140_jpg.rf.41929f48fe2a6340542518af50523b54.jpg,512,384,metal,62,79,398,293
plastic98_jpg.rf.41a1aa9c697af3b8146ed0d962dc2dbe.jpg,512,384,plastic,137,20,436,379
cardboard13_jpg.rf.41d3abc9b1bfe750df6c4b97862d4007.jpg,512,384,cardboard,2,1,502,379
O_12887_jpg.rf.41e87b0f7e02a685d82460270e553a18.jpg,259,194,organic,0,2,256,193
plastic4_jpg.rf.41f159bcfb7ef47c1bf968039d2a1625.jpg,187,270,plastic,5,1,178,264
green-glass10_jpg.rf.4249b0377e225978e7026a51b1e68f80.jpg,275,183,glass,41,53,229,135
metal208_jpg.rf.424c774cea88be8149a2b8ecce3c7b94.jpg,512,384,metal,11,4,507,372
paper1038_jpg.rf.429a39669938cf5affb05e1750242ae0.jpg,512,384,paper,132,35,382,326
paper894_jpg.rf.42deb972481963c5dd842815ccb94c2d.jpg,512,384,paper,0,48,509,378
metal69_jpg.rf.431133e08efddbb7e4bce38a8dae5825.jpg,512,384,metal,2,69,508,378
green-glass1_jpg.rf.432d239032c7e912f4e9370aa57690fc.jpg,200,200,glass,2,7,192,195
metal242_jpg.rf.43810bd0f28d1454a9f37d6f8d2045db.jpg,512,384,metal,126,79,370,330
paper819_jpg.rf.438ad34e0965d39437a2fcdb5d8d04bb.jpg,512,384,paper,57,5,386,358
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,98,79,140,122
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,131,80,179,123
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,15,86,49,121
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,177,95,201,129
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,73,94,110,136
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,28,107,77,151
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,243,108,274,151
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,113,114,153,152
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,211,110,241,157
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,160,116,189,153
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,185,128,220,163
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,3,128,43,171
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,205,8,248,50
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,15,9,55,51
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,179,26,213,63
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,120,24,161,65
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,43,27,86,70
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,147,43,189,87
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,87,48,127,85
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,214,45,247,92
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,15,48,58,91
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,185,58,213,90
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,126,63,156,95
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,45,70,92,112
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,169,77,197,107
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,233,78,259,114
O_12660_jpg.rf.43dfcac91d0674c8b9c2f18f9b64c905.jpg,275,183,organic,206,81,233,117
paper942_jpg.rf.44105e322d7afbe708f943844ed6fe8d.jpg,512,384,paper,30,69,505,327
cardboard94_jpg.rf.441d45bab2bc81c284fc69023b7e452d.jpg,512,384,cardboard,3,1,507,376
plastic49_jpg.rf.44711e627e6e3b337b5f95f9a7af565c.jpg,512,384,plastic,3,62,486,241
cardboard87_jpg.rf.44e39cde6b35985813e0c7f2b3cdb0de.jpg,512,384,cardboard,2,0,507,381
metal202_jpg.rf.44ef22b54c3391580432a0637b511d77.jpg,512,384,metal,70,12,470,380
cardboard110_jpg.rf.45149421c8c07b2e8a850dc273c797c7.jpg,512,384,cardboard,10,2,508,377
green-glass9_jpg.rf.455acbaced1fa57a1baae1286ac1175f.jpg,225,225,glass,36,34,183,211
metal192_jpg.rf.4531b6677b0cfd4a23c6ab964fc8fccf.jpg,512,384,metal,128,13,458,343
O_12633_jpg.rf.45b79e07882c31f95b21fc69186df8ac.jpg,225,225,organic,22,43,207,197
metal164_jpg.rf.464917269daab0cde366ddbb87568785.jpg,512,384,metal,29,1,510,380
cardboard131_jpg.rf.4664b5e72a960dd6c941533186fcb184.jpg,512,384,cardboard,1,4,505,215
plastic224_jpg.rf.4676e7e4728483e229ed97774df8a0ee.jpg,512,384,plastic,112,83,377,359
plastic229_jpg.rf.468d62cb809c7ce942e6679262d5d6aa.jpg,512,384,plastic,123,40,383,319
plastic17_jpg.rf.46be7978811e747243a9f3c933cbdc9d.jpg,280,180,plastic,65,16,206,178
O_13603_jpg.rf.47230ca419b7cc68a376f83733ec781e.jpg,287,176,organic,2,0,142,175
O_13603_jpg.rf.47230ca419b7cc68a376f83733ec781e.jpg,287,176,organic,143,3,285,176
cardboard19_jpg.rf.4713bb7f55f6a70ecb57d1cc2f6a22c9.jpg,512,384,cardboard,58,6,416,376
O_12674_jpg.rf.478977e749289fb929e29e92f3ad38c4.jpg,225,225,organic,82,62,224,223
O_12674_jpg.rf.478977e749289fb929e29e92f3ad38c4.jpg,225,225,organic,5,0,207,184
metal181_jpg.rf.47ca7416ea10cb251546a84daad67cc7.jpg,512,384,metal,12,95,391,383
paper900_jpg.rf.47fb1ccc30f8abad88e6feffef9ded33.jpg,512,384,paper,9,8,501,371
O_12675_jpg.rf.48564d09cd916686d959dba4f1b62de6.jpg,184,274,organic,11,7,176,259
white-glass205_jpg.rf.4881b3eee461ca04cd374a6baebbe6bc.jpg,512,384,glass,6,33,430,380
metal149_jpg.rf.48c117d7329c7031880e95b52b2d1682.jpg,512,384,metal,175,99,426,301
cardboard109_jpg.rf.49e326b78512f1c2767d53fa1062a7e8.jpg,512,384,cardboard,3,5,505,377
cardboard50_jpg.rf.4a22098cb57edc74341ac5b2630f2809.jpg,512,384,cardboard,5,6,507,375
plastic222_jpg.rf.4a30ad23b7025cf0e875baaf2de0b058.jpg,512,384,plastic,59,87,469,274
paper833_jpg.rf.4a61b8fe14ce2f037ef7c0a3e9c24c3e.jpg,512,384,paper,2,0,449,374
O_155_jpg.rf.4a8576444791606cfee01644ea1250c9.jpg,275,183,organic,19,18,203,158
O_226_jpg.rf.4a9786baaa5b4e08dc0704c4d437892b.jpg,275,183,organic,214,107,226,121
O_226_jpg.rf.4a9786baaa5b4e08dc0704c4d437892b.jpg,275,183,organic,160,128,174,145
O_226_jpg.rf.4a9786baaa5b4e08dc0704c4d437892b.jpg,275,183,organic,149,131,161,144
O_226_jpg.rf.4a9786baaa5b4e08dc0704c4d437892b.jpg,275,183,organic,151,138,164,153
O_226_jpg.rf.4a9786baaa5b4e08dc0704c4d437892b.jpg,275,183,organic,167,72,182,86
O_226_jpg.rf.4a9786baaa5b4e08dc0704c4d437892b.jpg,275,183,organic,176,80,190,94
O_226_jpg.rf.4a9786baaa5b4e08dc0704c4d437892b.jpg,275,183,organic,192,86,204,99
brown-glass13_jpg.rf.4a70d9b90485a40cccc60483f5ba22de.jpg,225,225,glass,22,87,75,189
brown-glass13_jpg.rf.4a70d9b90485a40cccc60483f5ba22de.jpg,225,225,glass,87,81,137,187
brown-glass13_jpg.rf.4a70d9b90485a40cccc60483f5ba22de.jpg,225,225,glass,146,82,203,189
plastic243_jpg.rf.4ab8255a77a6046adf8c096a960d8dd6.jpg,512,384,plastic,31,42,503,256
paper991_jpg.rf.4ac500528022c81d0ba45f5a1912a3bd.jpg,512,384,paper,5,4,503,376
metal161_jpg.rf.4af086452baf143ca0320abe40b11a31.jpg,512,384,metal,117,22,351,333
plastic132_jpg.rf.4b181529691cf1def70cd7e0d755fc63.jpg,512,384,plastic,96,2,506,379
metal31_jpg.rf.4bb9f01a50875bf29cb6c2b72f72d6e6.jpg,512,384,metal,188,61,509,383
O_12858_jpg.rf.4bdd46762e5981641c5a70ef6ac9bdad.jpg,183,275,organic,35,29,145,204
metal74_jpg.rf.4be64821b0f2950abef161e880694bf3.jpg,512,384,metal,134,109,302,281
metal13_jpg.rf.4bf316af7fcc71bb976325e7b11077b8.jpg,194,259,metal,20,29,158,201
cardboard184_jpg.rf.4c8e258641c2e96de0c86a850e9cf7d5.jpg,512,384,cardboard,7,2,506,380
O_13608_jpg.rf.4cb7e390cbaa7913cd4065bb76e7f78a.jpg,279,180,organic,0,11,265,173
O_131_jpg.rf.4cbd58f1f2907f434bbada5fd112b31b.jpg,225,225,organic,148,44,222,192
O_131_jpg.rf.4cbd58f1f2907f434bbada5fd112b31b.jpg,225,225,organic,70,51,167,187
O_131_jpg.rf.4cbd58f1f2907f434bbada5fd112b31b.jpg,225,225,organic,3,55,100,201
cardboard21_jpg.rf.4ce8913b310bc713552f8fb5004d7f51.jpg,512,384,cardboard,75,29,430,381
green-glass31_jpg.rf.4cf08c511aa371b79be6ffae8269850d.jpg,225,225,glass,7,94,74,148
green-glass31_jpg.rf.4cf08c511aa371b79be6ffae8269850d.jpg,225,225,glass,72,91,118,152
green-glass31_jpg.rf.4cf08c511aa371b79be6ffae8269850d.jpg,225,225,glass,122,87,160,149
green-glass31_jpg.rf.4cf08c511aa371b79be6ffae8269850d.jpg,225,225,glass,168,78,210,152
paper995_jpg.rf.4e11a9b4ee57b962afde6a5774bc7770.jpg,512,384,paper,3,3,491,379
O_13623_jpg.rf.4e15993a5c465828a963848cd0960c74.jpg,275,183,organic,63,39,253,172
O_13623_jpg.rf.4e15993a5c465828a963848cd0960c74.jpg,275,183,organic,122,5,123,6
metal190_jpg.rf.4e369e52c777371867da5c1456c56926.jpg,225,225,metal,3,65,220,167
white-glass35_jpg.rf.4ed0e430a92e0125e5b1847d503fe183.jpg,275,183,glass,2,2,244,145
cardboard113_jpg.rf.4f67bdb0e54fb476a19debca9e73b4b8.jpg,512,384,cardboard,2,0,473,285
cardboard108_jpg.rf.4fcf02891ef24deab15777190e29c99d.jpg,512,384,cardboard,6,4,510,325
O_12621_jpg.rf.4ff9237e4440017dec89e4d2b1c66991.jpg,194,259,organic,57,96,108,247
O_12621_jpg.rf.4ff9237e4440017dec89e4d2b1c66991.jpg,194,259,organic,99,130,147,256
paper853_jpg.rf.5054d6a0989b32fe7f20c7ca6f8a8aeb.jpg,512,384,paper,57,5,447,344
plastic121_jpg.rf.505711151fee68b22d4711bf1beea20a.jpg,512,384,plastic,8,23,160,380
plastic94_jpg.rf.508799e3aa3bf8ec3abc6583268a7815.jpg,512,384,plastic,6,2,509,382
cardboard4_jpg.rf.50c5a730fa2a4f90199f4331475a93db.jpg,512,384,cardboard,8,5,507,379
brown-glass7_jpg.rf.510ad48938974bc65949fd7b9890959c.jpg,226,218,glass,47,76,123,215
brown-glass7_jpg.rf.510ad48938974bc65949fd7b9890959c.jpg,226,218,glass,166,37,223,172
brown-glass7_jpg.rf.510ad48938974bc65949fd7b9890959c.jpg,226,218,glass,2,16,53,136
brown-glass7_jpg.rf.510ad48938974bc65949fd7b9890959c.jpg,226,218,glass,95,28,146,148
brown-glass7_jpg.rf.510ad48938974bc65949fd7b9890959c.jpg,226,218,glass,75,3,115,76
green-glass5_jpg.rf.510b0b42751c485180433d58406a786e.jpg,154,328,glass,7,26,138,297
plastic170_jpg.rf.513cb20dcd1c2ece57f186a34278e8e6.jpg,512,384,plastic,23,85,492,357
cardboard117_jpg.rf.51705877e4c032f6d16fd916b7f9e665.jpg,512,384,cardboard,7,6,507,376
metal71_jpg.rf.510c6579d40ab9e5d8aae24757b8c0c0.jpg,512,384,metal,102,89,394,383
